ID,Friends
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,0
